时间/s	马赫数	高度/m	外界大气温度/C	中央设备舱温度/C	前起舱温度/C
1605.00 	0.00 	15.51 	30.45 	40.71 	27.54 
1606.00 	0.10 	15.56 	30.45 	40.67 	27.55 
1607.00 	0.11 	15.57 	30.45 	40.65 	27.55 
1608.00 	0.12 	15.59 	30.45 	40.64 	27.57 
1609.00 	0.12 	15.63 	30.45 	40.63 	27.59 
1610.00 	0.13 	15.69 	30.45 	40.63 	27.62 
1611.00 	0.14 	15.72 	30.45 	40.61 	27.65 
1612.00 	0.15 	15.79 	30.45 	40.62 	27.70 
1613.00 	0.15 	15.83 	30.45 	40.61 	27.73 
1614.00 	0.16 	15.87 	30.45 	40.60 	27.78 
1615.00 	0.17 	15.93 	30.45 	40.59 	27.82 
1616.00 	0.18 	15.97 	30.45 	40.57 	27.85 
1617.00 	0.18 	16.05 	30.45 	40.56 	27.89 
1618.00 	0.19 	16.11 	30.45 	40.54 	27.95 
1619.00 	0.20 	16.08 	30.45 	40.51 	28.02 
1620.00 	0.20 	16.36 	30.45 	40.50 	28.08 
1621.00 	0.21 	21.02 	24.16 	40.49 	28.13 
1622.00 	0.21 	28.84 	23.99 	40.48 	28.18 
1623.00 	0.22 	33.93 	23.86 	40.47 	28.24 
1624.00 	0.22 	37.57 	23.77 	40.47 	28.30 
1625.00 	0.23 	42.78 	23.70 	40.45 	28.36 
1626.00 	0.23 	49.22 	23.58 	40.45 	28.42 
1627.00 	0.24 	55.91 	23.46 	40.43 	28.45 
1628.00 	0.24 	62.69 	23.35 	40.42 	28.50 
1629.00 	0.24 	69.68 	23.31 	40.41 	28.52 
1630.00 	0.25 	76.65 	23.14 	40.37 	28.57 
1631.00 	0.25 	83.85 	23.06 	40.35 	28.66 
1632.00 	0.26 	91.77 	22.95 	40.34 	28.76 
1633.00 	0.26 	101.61 	22.90 	40.33 	28.79 
1634.00 	0.26 	113.55 	22.79 	40.32 	28.84 
1635.00 	0.26 	127.30 	22.72 	40.32 	28.90 
1636.00 	0.27 	143.06 	22.63 	40.33 	28.95 
1637.00 	0.27 	161.88 	22.60 	40.33 	29.00 
1638.00 	0.27 	183.32 	22.61 	40.33 	29.02 
1639.00 	0.27 	206.71 	22.66 	40.32 	29.01 
1640.00 	0.27 	231.65 	22.65 	40.32 	28.93 
1641.00 	0.27 	257.55 	22.65 	40.30 	28.85 
1642.00 	0.27 	284.15 	22.65 	40.29 	28.81 
1643.00 	0.27 	311.24 	22.66 	40.28 	28.80 
1644.00 	0.27 	338.32 	22.69 	40.27 	28.79 
1645.00 	0.27 	365.15 	22.71 	40.25 	28.78 
1646.00 	0.27 	391.60 	22.72 	40.22 	28.77 
1647.00 	0.27 	417.48 	22.73 	40.21 	28.76 
1648.00 	0.27 	442.64 	22.75 	40.20 	28.76 
1649.00 	0.26 	467.01 	22.77 	40.19 	28.76 
1650.00 	0.26 	490.75 	22.76 	40.19 	28.77 
1651.00 	0.27 	513.86 	22.80 	40.18 	28.77 
1652.00 	0.27 	536.47 	22.80 	40.17 	28.78 
1653.00 	0.27 	558.55 	22.79 	40.16 	28.78 
1654.00 	0.27 	580.32 	22.79 	40.16 	28.78 
1655.00 	0.27 	601.86 	22.80 	40.14 	28.79 
1656.00 	0.27 	623.16 	22.77 	40.13 	28.79 
1657.00 	0.27 	644.16 	22.72 	40.11 	28.80 
1658.00 	0.27 	664.80 	22.73 	40.11 	28.79 
1659.00 	0.27 	684.69 	22.68 	40.11 	28.79 
1660.00 	0.27 	703.35 	22.63 	40.10 	28.79 
1661.00 	0.27 	720.47 	22.56 	40.10 	28.79 
1662.00 	0.27 	736.41 	22.48 	40.08 	28.78 
1663.00 	0.28 	751.53 	22.40 	40.08 	28.79 
1664.00 	0.28 	766.04 	22.32 	40.07 	28.78 
1665.00 	0.28 	780.12 	22.23 	40.07 	28.78 
1666.00 	0.29 	793.79 	22.11 	40.06 	28.78 
1667.00 	0.29 	807.24 	22.02 	40.05 	28.78 
1668.00 	0.29 	821.11 	21.91 	40.05 	28.77 
1669.00 	0.30 	836.19 	21.83 	40.03 	28.77 
1670.00 	0.30 	852.74 	21.78 	40.03 	28.77 
1671.00 	0.30 	870.86 	21.72 	40.02 	28.77 
1672.00 	0.30 	890.49 	21.67 	40.01 	28.77 
1673.00 	0.30 	911.10 	21.69 	40.01 	28.76 
1674.00 	0.30 	931.82 	21.67 	40.00 	28.76 
1675.00 	0.30 	952.15 	21.64 	39.99 	28.76 
1676.00 	0.31 	971.45 	21.58 	39.99 	28.75 
1677.00 	0.31 	989.31 	21.53 	39.98 	28.75 
1678.00 	0.31 	1005.94 	21.45 	39.98 	28.75 
1679.00 	0.31 	1021.58 	21.38 	39.97 	28.74 
1680.00 	0.32 	1036.23 	21.29 	39.97 	28.74 
1681.00 	0.32 	1050.15 	21.18 	39.96 	28.74 
1682.00 	0.32 	1063.47 	21.02 	39.96 	28.74 
1683.00 	0.33 	1076.37 	20.84 	39.96 	28.74 
1684.00 	0.33 	1089.34 	20.74 	39.95 	28.73 
1685.00 	0.33 	1102.81 	20.62 	39.95 	28.73 
1686.00 	0.34 	1116.74 	20.49 	39.95 	28.73 
1687.00 	0.34 	1130.81 	20.32 	39.94 	28.73 
1688.00 	0.34 	1145.60 	20.30 	39.94 	28.73 
1689.00 	0.35 	1160.86 	20.24 	39.94 	28.73 
1690.00 	0.35 	1176.54 	20.08 	39.94 	28.73 
1691.00 	0.35 	1192.82 	19.96 	39.93 	28.73 
1692.00 	0.35 	1209.40 	19.87 	39.93 	28.73 
1693.00 	0.36 	1226.28 	19.70 	39.93 	28.73 
1694.00 	0.36 	1243.44 	19.59 	39.93 	28.73 
1695.00 	0.36 	1260.51 	19.45 	39.92 	28.72 
1696.00 	0.37 	1277.76 	19.28 	39.92 	28.72 
1697.00 	0.37 	1295.13 	19.22 	39.92 	28.72 
1698.00 	0.37 	1312.48 	19.15 	39.92 	28.72 
1699.00 	0.37 	1329.80 	19.11 	39.92 	28.72 
1700.00 	0.38 	1347.11 	19.06 	39.92 	28.72 
1701.00 	0.38 	1364.57 	19.04 	39.91 	28.71 
1702.00 	0.38 	1382.14 	19.02 	39.91 	28.71 
1703.00 	0.39 	1399.50 	18.95 	39.91 	28.71 
1704.00 	0.39 	1416.88 	18.94 	39.91 	28.71 
1705.00 	0.39 	1434.64 	18.87 	39.91 	28.71 
1706.00 	0.40 	1452.22 	18.85 	39.91 	28.71 
1707.00 	0.40 	1469.26 	18.77 	39.89 	28.71 
1708.00 	0.40 	1486.82 	18.78 	39.89 	28.70 
1709.00 	0.41 	1504.76 	18.70 	39.89 	28.70 
1710.00 	0.41 	1522.52 	18.64 	39.89 	28.70 
1711.00 	0.41 	1539.98 	18.51 	39.89 	28.69 
1712.00 	0.41 	1557.68 	18.50 	39.89 	28.69 
1713.00 	0.42 	1576.26 	18.33 	39.88 	28.69 
1714.00 	0.42 	1593.50 	18.36 	39.88 	28.68 
1715.00 	0.42 	1612.21 	18.32 	39.88 	28.68 
1716.00 	0.43 	1631.00 	18.21 	39.88 	28.68 
1717.00 	0.43 	1647.75 	18.07 	39.87 	28.68 
1718.00 	0.43 	1664.65 	18.20 	39.87 	28.67 
1719.00 	0.44 	1681.96 	18.27 	39.87 	28.67 
1720.00 	0.44 	1698.32 	18.15 	39.87 	28.67 
1721.00 	0.44 	1714.67 	18.07 	39.87 	28.67 
1722.00 	0.45 	1731.09 	18.00 	39.87 	28.66 
1723.00 	0.45 	1747.81 	17.99 	39.87 	28.66 
1724.00 	0.45 	1765.06 	17.78 	39.86 	28.66 
1725.00 	0.45 	1782.04 	17.74 	39.87 	28.66 
1726.00 	0.46 	1798.65 	17.57 	39.86 	28.65 
1727.00 	0.46 	1815.70 	17.44 	39.86 	28.66 
1728.00 	0.46 	1832.98 	17.37 	39.87 	28.65 
1729.00 	0.47 	1849.70 	17.14 	39.86 	28.65 
1730.00 	0.47 	1865.95 	16.90 	39.87 	28.65 
1731.00 	0.47 	1883.15 	16.93 	39.87 	28.65 
1732.00 	0.48 	1900.71 	16.43 	39.87 	28.65 
1733.00 	0.48 	1918.13 	16.36 	39.87 	28.65 
1734.00 	0.48 	1937.84 	16.28 	39.87 	28.66 
1735.00 	0.48 	1955.30 	16.06 	39.87 	28.66 
1736.00 	0.49 	1969.73 	15.52 	39.87 	28.66 
1737.00 	0.49 	1983.27 	15.53 	39.87 	28.66 
1738.00 	0.50 	2000.48 	15.12 	39.88 	28.66 
1739.00 	0.50 	2016.05 	14.96 	39.88 	28.66 
1740.00 	0.50 	2034.80 	14.72 	39.87 	28.67 
1741.00 	0.51 	2057.08 	14.37 	39.88 	28.66 
1742.00 	0.51 	2076.50 	14.32 	39.88 	28.67 
1743.00 	0.50 	2102.61 	14.49 	39.88 	28.67 
1744.00 	0.50 	2129.86 	14.27 	39.88 	28.67 
1745.00 	0.51 	2152.13 	13.98 	39.87 	28.67 
1746.00 	0.51 	2176.46 	13.74 	39.87 	28.68 
1747.00 	0.51 	2202.81 	13.59 	39.87 	28.68 
1748.00 	0.51 	2230.00 	13.42 	39.87 	28.68 
1749.00 	0.51 	2259.17 	13.40 	39.86 	28.68 
1750.00 	0.51 	2290.21 	13.33 	39.86 	28.68 
1751.00 	0.51 	2321.60 	13.24 	39.86 	28.68 
1752.00 	0.52 	2352.40 	13.13 	39.85 	28.68 
1753.00 	0.52 	2383.23 	12.99 	39.85 	28.67 
1754.00 	0.52 	2414.23 	12.96 	39.85 	28.67 
