 time,Q,Q_aero,Q_solar
           1 ,   606.9119     ,   231.9084     ,   217.0035    
           2 ,   606.9124     ,   231.9084     ,   217.0040    
           3 ,   606.9125     ,   231.9084     ,   217.0041    
           4 ,   606.9127     ,   231.9084     ,   217.0043    
           5 ,   606.9130     ,   231.9084     ,   217.0047    
           6 ,   606.9136     ,   231.9084     ,   217.0052    
           7 ,   606.9139     ,   231.9084     ,   217.0055    
           8 ,   606.9146     ,   231.9084     ,   217.0061    
           9 ,   606.9149     ,   231.9083     ,   217.0065    
          10 ,   606.9152     ,   231.9083     ,   217.0069    
          11 ,   606.9158     ,   231.9083     ,   217.0075    
          12 ,   606.9162     ,   231.9083     ,   217.0079    
          13 ,   606.9169     ,   231.9083     ,   217.0086    
          14 ,   606.9175     ,   231.9083     ,   217.0092    
          15 ,   606.9172     ,   231.9083     ,   217.0089    
          16 ,   606.9198     ,   231.9082     ,   217.0115    
          17 ,   359.9607     ,  -15.09479     ,   217.0555    
          18 ,   353.3435     ,  -21.78555     ,   217.1291    
          19 ,   348.3607     ,  -26.81630     ,   217.1770    
          20 ,   344.8697     ,  -30.34152     ,   217.2112    
          21 ,   342.0783     ,  -33.18189     ,   217.2602    
          22 ,   337.5124     ,  -37.80836     ,   217.3208    
          23 ,   332.8289     ,  -42.55470     ,   217.3836    
          24 ,   328.5492     ,  -46.89805     ,   217.4472    
          25 ,   327.1132     ,  -48.39961     ,   217.5128    
          26 ,   320.5237     ,  -55.05437     ,   217.5781    
          27 ,   317.4654     ,  -58.18009     ,   217.6455    
          28 ,   313.2013     ,  -62.51833     ,   217.7196    
          29 ,   311.3853     ,  -64.42631     ,   217.8116    
          30 ,   307.1552     ,  -68.76796     ,   217.9231    
          31 ,   304.5624     ,  -71.48895     ,   218.0514    
          32 ,   301.3011     ,  -74.89703     ,   218.1982    
          33 ,   300.2610     ,  -76.11208     ,   218.3731    
          34 ,   300.9866     ,  -75.58540     ,   218.5721    
          35 ,   303.2317     ,  -73.55688     ,   218.7886    
          36 ,   303.1780     ,  -73.84084     ,   219.0188    
          37 ,   303.4181     ,  -73.83920     ,   219.2573    
          38 ,   303.7840     ,  -73.71764     ,   219.5016    
          39 ,   304.4392     ,  -73.31055     ,   219.7498    
          40 ,   306.0242     ,  -71.97289     ,   219.9971    
